,latitud,provinciaAemet,altitud,indicativo,nombre,indsinop,longitud,distrito,ciudad,provincia,CA,pais
0,40.95805555555556,TARRAGONA,32.0,0002I,VANDELLÒS  ,08169,0.8713888888888889,,Vandellòs l'Hospitalet de l'Infant,Tarragona,Cataluña,ESP
1,41.144999999999996,TARRAGONA,71.0,0016A,REUS AEROPUERTO,08175,1.163611111111111,,Reus,Tarragona,Catalunya,ESP
2,41.29277777777778,BARCELONA,4.0,0076,BARCELONA AEROPUERTO,08181,2.0700000000000003,,El Prat de Llobregat,Barcelona,Catalunya,ESP
3,41.72,BARCELONA,291.0,0149X,MANRESA,08174,1.840277777777778,Manresa,Manresa,Barcelona,Catalunya,ESP
4,41.41833333333333,BARCELONA,408.0,0200E,"BARCELONA, FABRA",,2.1241666666666665,Barcelona,Barcelona,Barcelona,Catalunya,ESP
5,41.39055555555556,BARCELONA,6.0,0201D,BARCELONA,08180,2.2,Barcelona,Barcelona,Barcelona,Catalunya,ESP
6,41.52361111111111,BARCELONA,146.0,0229I,SABADELL AEROPUERTO,08192,2.1030555555555557,,Sabadell,Barcelona,Catalunya,ESP
7,41.587500000000006,BARCELONA,74.0,0252D,ARENYS DE MAR,08186,2.54,Arenys de Mar,Arenys de Mar,Barcelona,Catalunya,ESP
8,41.65083333333333,BARCELONA,40.0,0255B,SANTA SUSANNA,08188,2.6969444444444446,,Santa Susanna,Barcelona,Catalunya,ESP
9,42.19138888888889,GIRONA,675.0,0324A,RIPOLL,08118,2.196111111111111,Ripoll,Ripoll,Girona,Catalunya,ESP
10,41.91166666666666,GIRONA,143.0,0367,GIRONA AEROPUERTO,08184,2.763333333333333,,Aiguaviva,Girona,Catalunya,ESP
11,41.980000000000004,GIRONA,95.0,0370B,"GIRONA, ANTIC INSTITUT",,2.8252777777777776,Girona,Girona,Girona,Catalunya,ESP
12,42.10444444444445,GIRONA,157.0,0372C,PORQUERES,08120,2.763611111111111,Les Pedreres,Porqueres,Girona,Catalunya,ESP
13,43.13583333333333,NAVARRA,183.0,1002Y,"BAZTAN, IRURITA ",08030,-1.5430555555555554,,Baztan,Navarra,Comunidad Foral de Navarra,ESP
14,43.356944444444444,GIPUZKOA,4.0,1014,"HONDARRIBIA, MALKARROA",08029,-1.7922222222222222,,Fuenterrabía,Guipúzcoa,País Vasco,ESP
15,43.356944444444444,GIPUZKOA,4.0,1014A,SAN SEBASTIÁN AEROPUERTO,08029,-1.7922222222222222,,Fuenterrabía,Guipúzcoa,País Vasco,ESP
16,43.30638888888888,GIPUZKOA,251.0,1024E,"DONOSTIA/SAN SEBASTIÁN, IGUELDO",08027,-2.041111111111111,,San Sebastián,Guipúzcoa,País Vasco,ESP
17,43.080000000000005,GIPUZKOA,420.0,1037Y,ZUMARRAGA,08037,-2.3175,Zumarraga,Zumarraga,Guipúzcoa,País Vasco,ESP
18,43.30222222222222,GIPUZKOA,28.0,1041A,ZUMAIA,08026,-2.2511111111111113,Zumaya,Zumaya,Guipúzcoa,País Vasco,ESP
19,43.20944444444445,GIPUZKOA,119.0,1050J,ELGOIBAR,08036,-2.413333333333333,,Elgoibar,Guipúzcoa,País Vasco,ESP
20,43.37694444444445,BIZKAIA,12.0,1055B,LEKEITIO,08024,-2.5102777777777776,,Lekeitio,Vizcaya,País Vasco,ESP
21,43.45388888888889,BIZKAIA,93.0,1057B,MACHICHACO,,-2.7527777777777778,,Bermeo,Vizcaya,País Vasco,ESP
22,43.375,BIZKAIA,90.0,1059X,PUNTA GALEA,08059,-3.0216666666666665,,Guecho,Vizcaya,País Vasco,ESP
23,43.20333333333333,BIZKAIA,208.0,1078I,GÜEÑES,08035,-3.104722222222222,,Güeñes,Vizcaya,País Vasco,ESP
24,43.29805555555556,BIZKAIA,42.0,1082,BILBAO AEROPUERTO,08025,-2.906388888888889,,Loiu,Vizcaya,País Vasco,ESP
25,43.39472222222222,CANTABRIA,45.0,1083L,CASTRO URDIALES,08020,-3.233888888888889,,Castro-Urdiales,Cantabria,Cantabria,ESP
26,43.42388888888889,CANTABRIA,3.0,1109,SANTANDER AEROPUERTO,08021,-3.8255555555555554,Maliaño,Camargo,Cantabria,Cantabria,ESP
27,43.465,CANTABRIA,64.0,1110,"SANTANDER, CIUDAD",,-3.8188888888888886,Santander,Santander,Cantabria,Cantabria,ESP
28,43.49111111111111,CANTABRIA,52.0,1111,SANTANDER,08023,-3.8005555555555555,,Santander,Cantabria,Cantabria,ESP
29,43.49111111111111,CANTABRIA,52.0,1111X,SANTANDER,08023,-3.8005555555555555,,Santander,Cantabria,Cantabria,ESP
30,43.39333333333333,CANTABRIA,38.0,1159,SAN VICENTE DE LA BARQUERA,08017,-4.392222222222222,San Vicente de la Barquera,San Vicente de la Barquera,Cantabria,Cantabria,ESP
31,43.42027777777778,ASTURIAS,10.0,1183X,LLANES,08016,-4.748055555555555,Llanes,Llanes,Asturias,Principado de Asturias,ESP
32,43.52305555555555,ASTURIAS,26.0,1207U,"GIJÓN, CAMPUS",08014,-5.621111111111111,,Gijón,Asturias,Principado de Asturias,ESP
33,43.538888888888884,ASTURIAS,3.0,1208,GIJÓN,,-5.637499999999999,Gijón,Gijón,Asturias,Principado de Asturias,ESP
34,43.541666666666664,ASTURIAS,22.0,1208A,GIJÓN. LA MERCED,,-5.661944444444445,Gijón,Gijón,Asturias,Principado de Asturias,ESP
35,43.559999999999995,ASTURIAS,5.0,1208H,"GIJÓN, PUERTO",08014,-5.700833333333334,Gijón,Gijón,Asturias,Principado de Asturias,ESP
36,43.655833333333334,ASTURIAS,100.0,1210X,CABO PEÑAS,08012,-5.8486111111111105,,Gozón,Asturias,Principado de Asturias,ESP
37,43.566944444444445,ASTURIAS,127.0,1212E,ASTURIAS AEROPUERTO,08011,-6.0441666666666665,,Castrillón,Asturias,Principado de Asturias,ESP
38,42.978611111111114,ASTURIAS,1480.0,1221D,PAJARES-VALGRANDE,08031,-5.776388888888889,,Lena,Asturias,Principado de Asturias,ESP
39,43.35333333333333,ASTURIAS,336.0,1249I,OVIEDO,08015,-5.874166666666667,Oviedo,Oviedo,Asturias,Principado de Asturias,ESP
40,43.35333333333333,ASTURIAS,336.0,1249X,OVIEDO,08015,-5.874166666666667,Oviedo,Oviedo,Asturias,Principado de Asturias,ESP
41,43.56916666666667,ASTURIAS,60.0,1283U,CABO BUSTO,08010,-6.47,,Valdés,Asturias,Principado de Asturias,ESP
42,43.52472222222222,ASTURIAS,40.0,1331A,CASTROPOL,08009,-7.0313888888888885,Castropol,Castropol,Asturias,Principado de Asturias,ESP
43,43.78611111111111,A CORUÑA,80.0,1351,ESTACA DE BARES,08004,-7.684722222222223,,Mañón,A Coruña,Galicia,ESP
44,43.365833333333335,A CORUÑA,58.0,1387,A CORUÑA,08001,-8.421388888888888,A Coruña,A Coruña,A Coruña,Galicia,ESP
45,43.30694444444444,A CORUÑA,98.0,1387E,A CORUÑA AEROPUERTO,08002,-8.371944444444445,Alvedro,Culleredo,La Coruña,Galicia,ESP
46,43.160555555555554,A CORUÑA,50.0,1393,CABO VILÁN,08006,-9.210833333333333,,Camariñas,A Coruña,Galicia,ESP
47,42.92472222222222,A CORUÑA,230.0,1400,FISTERRA,08040,-9.29138888888889,,Fisterra,A Coruña,Galicia,ESP
48,42.88805555555555,A CORUÑA,370.0,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,08042,-8.410555555555556,,O Pino,A Coruña,Galicia,ESP
49,42.720555555555556,A CORUÑA,685.0,1437O,MONTE IROITE,08043,-8.923333333333332,,Porto do Son,A Coruña,Galicia,ESP
50,42.73833333333334,A CORUÑA,100.0,1473A,PADRÓN,08039,-8.627222222222223,,Padrón,La Coruña,Galicia,ESP
51,42.876111111111115,A CORUÑA,240.0,1475X,SANTIAGO DE COMPOSTELA,08041,-8.555833333333334,Santiago de Compostela,Santiago de Compostela,A Coruña,Galicia,ESP
52,42.43055555555555,PONTEVEDRA,19.0,1484,"PONTEVEDRA, INSTITUTO",,-8.647222222222222,Pontevedra,Pontevedra,Pontevedra,Galicia,ESP
53,42.43833333333333,PONTEVEDRA,108.0,1484C,PONTEVEDRA,08044,-8.615833333333333,,Pontevedra,Pontevedra,Galicia,ESP
54,42.23861111111111,PONTEVEDRA,261.0,1495,VIGO AEROPUERTO,08045,-8.623888888888889,,Redondela,Pontevedra,Galicia,ESP
55,43.11138888888889,LUGO,445.0,1505,LUGO AEROPUERTO,08008,-7.4575000000000005,,Castro de Rei,Lugo,Galicia,ESP
56,42.994166666666665,ASTURIAS,1530.0,1542,PUERTO DE LEITARIEGOS,08052,-6.4141666666666675,Puerto de Leitariegos,Cangas del Narcea,Asturias,Principado de Asturias,ESP
57,42.56388888888888,LEON,534.0,1549,PONFERRADA,08053,-6.6,Compostilla,Ponferrada,León,Castilla y León,ESP
58,42.339444444444446,OURENSE,840.0,1631E,A POBRA DE TRIVES,08051,-7.2825,,A Pobra de Trives,Ourense,Galicia,ESP
59,42.32527777777778,OURENSE,143.0,1690A,OURENSE,08048,-7.859722222222222,Ourense,Ourense,Ourense,Galicia,ESP
60,42.33222222222223,OURENSE,148.0,1690B,"OURENSE,INSTITUTO",,-7.864444444444444,Ourense,Ourense,Ourense,Galicia,ESP
61,42.421388888888885,OURENSE,400.0,1700X,O CARBALLIÑO,08047,-8.092500000000001,O Carballiño,O Carballiño,Ourense,Galicia,ESP
62,42.07916666666667,OURENSE,616.0,1735X,XINZO DE LIMIA,08050,-7.733611111111111,,Xinzo de Limia,Ourense,Galicia,ESP
63,41.775,SORIA,1082.0,2030,SORIA,08148,-2.4830555555555556,Soria,Soria,Soria,Castilla y León,ESP
64,41.66583333333333,BURGOS,790.0,2117D,ARANDA DE DUERO,08144,-3.742777777777778,Aranda de Duero,Aranda de Duero,Burgos,Castilla y León,ESP
65,41.19194444444444,SEGOVIA,1798.0,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",08143,-3.475277777777778,,Cerezo de Arriba,Segovia,Castilla y León,ESP
66,42.870555555555555,PALENCIA,1140.0,2235U,CERVERA DE PISUERGA,08058,-4.52,,Cervera de Pisuerga,Palencia,Castilla y León,ESP
67,41.959722222222226,BURGOS,1080.0,2298,PALACIOS DE LA SIERRA,08149,-3.131666666666667,,Palacios de la Sierra,Burgos,Castilla y León,ESP
68,42.356944444444444,BURGOS,891.0,2331,BURGOS AEROPUERTO,08075,-3.620277777777778,,Burgos,Burgos,Castilla y León,ESP
69,42.350833333333334,PALENCIA,830.0,2374X,CARRIÓN DE LOS CONDES,08068,-4.617222222222223,,Carrión de los Condes,Palencia,Castilla y León,ESP
70,41.995555555555555,PALENCIA,874.0,2400E,AUTILLA DEL PINO,08072,-4.602777777777778,,Autilla del Pino,Palencia,Castilla y León,ESP
71,42.005,PALENCIA,750.0,2401,"PALENCIA, OBSERVATORIO",,-4.529166666666667,Palencia,Palencia,Palencia,Castilla y León,ESP
72,41.64083333333333,VALLADOLID,735.0,2422,VALLADOLID,08141,-4.754444444444444,Valladolid,Valladolid,Valladolid,Castilla y León,ESP
73,40.659166666666664,AVILA,1130.0,2444,ÁVILA,08210,-4.680000000000001,Ávila,Ávila,Ávila,Castilla y León,ESP
74,40.656666666666666,AVILA,1143.0,2444C,"ÁVILA, AYUNTAMIENTO",,-4.700277777777778,Ávila,Ávila,Ávila,Castilla y León,ESP
75,40.793055555555554,MADRID,1894.0,2462,PUERTO DE NAVACERRADA,08215,-4.010555555555555,,Real Sitio de San Ildefonso,Segovia,Castilla y León,ESP
76,40.945277777777775,SEGOVIA,1005.0,2465,SEGOVIA,08213,-4.126388888888888,Segovia,Segovia,Segovia,Castilla y León,ESP
77,40.946666666666665,SEGOVIA,990.0,2465A,"SEGOVIA, INSTITUTO",,-4.115833333333333,Segovia,Segovia,Segovia,Castilla y León,ESP
78,40.355000000000004,SALAMANCA,1960.0,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",08205,-5.69,,Navacarros,Salamanca,Castilla y León,ESP
79,41.325833333333335,VALLADOLID,740.0,2503X,OLMEDO,08142,-4.686944444444444,,Olmedo,Valladolid,Castilla y León,ESP
80,41.71194444444445,VALLADOLID,846.0,2539,VALLADOLID AEROPUERTO,08140,-4.855555555555555,,Villanubla,Valladolid,Castilla y León,ESP
81,41.51555555555556,ZAMORA,656.0,2614,ZAMORA,08130,-5.735277777777778,Zamora,Zamora,Zamora,Castilla y León,ESP
82,43.06222222222222,LEON,1510.0,2630X,PUERTO DE SAN ISIDRO,08057,-5.376944444444444,,Puebla de Lillo,León,Castilla y León,ESP
83,42.58833333333334,LEON,912.0,2661,"LEÓN, VIRGEN DEL CAMINO",08055,-5.651111111111112,,San Andrés del Rabanedo,León,Castilla y León,ESP
84,42.599444444444444,LEON,912.0,2661B,LEÓN AEROPUERTO,08055,-5.6436111111111105,,San Andrés del Rabanedo,León,Castilla y León,ESP
85,42.3775,LEON,1020.0,2737E,LAGUNAS DE SOMOZA,08123,-6.196666666666667,,Val de San Lorenzo,León,Castilla y León,ESP
86,42.01083333333333,ZAMORA,715.0,2755X,BENAVENTE,08056,-5.666666666666667,Benavente,Benavente,Zamora,Castilla y León,ESP
87,41.94138888888889,ZAMORA,850.0,2775X,VILLARDECIERVOS,08125,-6.279722222222222,,Villardeciervos,Zamora,Castilla y León,ESP
88,40.35055555555556,AVILA,1525.0,2811A,NAVARREDONDA DE GREDOS,08206,-5.143055555555556,,Navarredonda de Gredos,Ávila,Castilla y León,ESP
89,40.95944444444445,SALAMANCA,790.0,2867,SALAMANCA AEROPUERTO,08202,-5.498333333333333,,Machacón,Salamanca,Castilla y León,ESP
90,40.9575,SALAMANCA,775.0,2870,SALAMANCA,08201,-5.662222222222223,Salamanca,Salamanca,Salamanca,Castilla y León,ESP
91,41.01138888888889,SALAMANCA,769.0,2916A,VITIGUDINO,08129,-6.437777777777778,Vitigudino,Vitigudino,Salamanca,Castilla y León,ESP
92,40.635,SALAMANCA,680.0,2946X,SAELICES EL CHICO,08195,-6.6,,Saelices el Chico,Salamanca,Castilla y León,ESP
93,40.84166666666667,GUADALAJARA,1062.0,3013,MOLINA DE ARAGÓN,08232,-1.8788888888888888,Molina de Aragón,Molina de Aragón,Guadalajara,Castilla-La Mancha,ESP
94,40.530277777777776,CUENCA,928.0,3044X,CAÑIZARES,08230,-2.15,,Cañizares,Cuenca,Castilla-La Mancha,ESP
95,40.01138888888889,CUENCA,808.0,3094B,TARANCÓN,08277,-3.0213888888888887,Tarancón,Tarancón,Cuenca,Castilla-La Mancha,ESP
96,40.06722222222223,MADRID,540.0,3100B,ARANJUEZ,08229,-3.546111111111111,,Aranjuez,Madrid,Comunidad de Madrid,ESP
97,41.00694444444444,MADRID,1030.0,3110C,BUITRAGO DEL LOZOYA,08146,-3.613611111111111,,Buitrago del Lozoya,Madrid,Comunidad de Madrid,ESP
98,41.135555555555555,MADRID,1450.0,3111D,SOMOSIERRA,08145,-3.5802777777777774,Somosierra,Somosierra,Madrid,Comunidad de Madrid,ESP
99,40.46666666666667,MADRID,609.0,3129,MADRID AEROPUERTO,08221,-3.5555555555555554,,Madrid,Madrid,Comunidad de Madrid,ESP
100,41.08638888888889,GUADALAJARA,1005.0,3130C,SIGÜENZA,08150,-2.618055555555556,,Sigüenza,Guadalajara,Castilla-La Mancha,ESP
101,40.63472222222222,GUADALAJARA,685.0,3168A,"GUADALAJARA, INSTITUTO",,-3.1666666666666665,Guadalajara,Guadalajara,Guadalajara,Castilla-La Mancha,ESP
102,40.659166666666664,GUADALAJARA,639.0,3168C,"GUADALAJARA, EL SERRANILLO",08226,-3.1733333333333333,,Guadalajara,Guadalajara,Castilla-La Mancha,ESP
103,40.63027777777778,GUADALAJARA,721.0,3168D,GUADALAJARA,08226,-3.15,Guadalajara,Guadalajara,Guadalajara,Castilla-La Mancha,ESP
104,40.48861111111111,MADRID,607.0,3175,TORREJÓN DE ARDOZ,08227,-3.443611111111111,,Torrejón de Ardoz,Madrid,Comunidad de Madrid,ESP
105,40.69611111111111,MADRID,1004.0,3191E,COLMENAR VIEJO,08219,-3.765,Fanet,Colmenar Viejo,Madrid,Comunidad de Madrid,ESP
106,40.45166666666667,MADRID,664.0,3194U,"MADRID, CIUDAD UNIVERSITARIA",08220,-3.7241666666666666,,Madrid,Madrid,Comunidad de Madrid,ESP
107,40.411944444444444,MADRID,667.0,3195,"MADRID, RETIRO",08222,-3.6780555555555554,Madrid,Madrid,Madrid,Comunidad de Madrid,ESP
108,40.37555555555556,MADRID,690.0,3196,"MADRID, CUATRO VIENTOS",08223,-3.786111111111111,Madrid,Madrid,Madrid,Comunidad de Madrid,ESP
109,40.29944444444444,MADRID,620.0,3200,GETAFE,08224,-3.7222222222222223,,Getafe,Madrid,Comunidad de Madrid,ESP
110,39.85944444444445,TOLEDO,540.0,3259,"TOLEDO, LORENZANA",,-4.025555555555555,Toledo,Toledo,Toledo,Castilla-La Mancha,ESP
111,39.88472222222222,TOLEDO,515.0,3260B,TOLEDO,08272,-4.045277777777778,,Toledo,Toledo,Castilla-La Mancha,ESP
112,40.70638888888889,MADRID,1532.0,3266A,PUERTO ALTO DEL LEÓN,08217,-4.141944444444444,,El Espinar,Segovia,Castilla y León,ESP
113,39.54694444444444,TOLEDO,917.0,3298X,SAN PABLO DE LOS MONTES,08270,-4.350555555555555,,San Pablo de los Montes,Toledo,Castilla-La Mancha,ESP
114,40.42777777777778,MADRID,763.0,3338,ROBLEDO DE CHAVELA,08212,-4.25,,Robledo de Chavela,Madrid,Comunidad de Madrid,ESP
115,39.95861111111111,TOLEDO,372.0,3365A,TALAVERA DE LA REINA,08274,-4.863611111111111,,Talavera de la Reina,Toledo,Castilla-La Mancha,ESP
116,40.28861111111111,AVILA,630.0,3391,SOTILLO DE LA ADRADA,08208,-4.590833333333333,,Sotillo de la Adrada,Ávila,Castilla y León,ESP
117,39.94583333333333,CACERES,269.0,3434X,NAVALMORAL DE LA MATA,08254,-5.5825,,Navalmoral de la Mata,Cáceres,Extremadura,ESP
118,39.4825,CACERES,503.0,3463X,TRUJILLO,08263,-5.854166666666666,,Trujillo,Cáceres,Extremadura,ESP
119,39.475833333333334,CACERES,459.0,3469,"CÁCERES, CIUDAD",,-6.376388888888888,Cáceres,Cáceres,Cáceres,Extremadura,ESP
120,39.47138888888889,CACERES,394.0,3469A,CÁCERES,08261,-6.338888888888889,,Cáceres,Cáceres,Extremadura,ESP
121,40.043055555555554,CACERES,415.0,3519X,PLASENCIA,08252,-6.085833333333333,Plasencia,Plasencia,Cáceres,Extremadura,ESP
122,40.00361111111111,CACERES,313.0,3526X,CORIA,08251,-6.5575,,Coria,Cáceres,Extremadura,ESP
123,39.414722222222224,CACERES,444.0,3576X,VALENCIA DE ALCÁNTARA,08260,-7.231111111111111,Valencia de Alcántara,Valencia de Alcántara,Cáceres,Extremadura,ESP
124,39.597500000000004,TOLEDO,691.0,4061X,QUINTANAR DE LA ORDEN,08275,-3.0469444444444442,Quintanar de la Orden,Quintanar de la Orden,Toledo,Castilla-La Mancha,ESP
125,39.49194444444444,TOLEDO,690.0,4067,MADRIDEJOS,08273,-3.5283333333333333,,Madridejos,Toledo,Castilla-La Mancha,ESP
126,39.416666666666664,CUENCA,728.0,4090Y,SAN CLEMENTE,08256,-2.4205555555555556,,San Clemente,Cuenca,Castilla-La Mancha,ESP
127,39.16916666666666,CIUDAD REAL,662.0,4103X,TOMELLOSO,08276,-3.0075,,Tomelloso,Ciudad Real,Castilla-La Mancha,ESP
128,38.98916666666667,CIUDAD REAL,628.0,4121,CIUDAD REAL,08348,-3.9202777777777778,Ciudad Real,Ciudad Real,Ciudad Real,Castilla-La Mancha,ESP
129,38.98777777777778,CIUDAD REAL,627.0,4121C,"CIUDAD REAL, INSTITUTO",,-3.9291666666666667,Ciudad Real,Ciudad Real,Ciudad Real,Castilla-La Mancha,ESP
130,38.75055555555556,CIUDAD REAL,700.0,4147X,VALDEPEÑAS,08351,-3.391388888888889,Valdepeñas,Valdepeñas,Ciudad Real,Castilla-La Mancha,ESP
131,38.518055555555556,CIUDAD REAL,804.0,4148,VISO DEL MARQUÉS,08345,-3.5666666666666664,Viso del Marqués,Viso del Marqués,Ciudad Real,Castilla-La Mancha,ESP
132,39.08861111111111,CIUDAD REAL,486.0,4220X,PUEBLA DE DON RODRIGO,08271,-4.616388888888888,Puebla de Don Rodrigo,Puebla de Don Rodrigo,Ciudad Real,Castilla-La Mancha,ESP
133,39.169444444444444,BADAJOZ,447.0,4244X,HERRERA DEL DUQUE,08264,-5.062222222222222,,Herrera del Duque,Badajoz,Extremadura,ESP
134,38.49861111111111,CORDOBA,551.0,4267X,HINOJOSA DEL DUQUE,08335,-5.1211111111111105,,Hinojosa del Duque,Córdoba,Andalucía,ESP
135,38.955555555555556,BADAJOZ,273.0,4358X,DON BENITO,08333,-5.880555555555556,Don Benito,Don Benito,Badajoz,Extremadura,ESP
136,38.23166666666667,BADAJOZ,655.0,4386B,LLERENA,08336,-6.016944444444444,,Llerena,Badajoz,Extremadura,ESP
137,38.91583333333333,BADAJOZ,228.0,4410X,MÉRIDA,08331,-6.385555555555556,Mérida,Mérida,Badajoz,Extremadura,ESP
138,38.88333333333333,BADAJOZ,185.0,4452,BADAJOZ AEROPUERTO,08330,-6.813888888888889,,Badajoz,Badajoz,Extremadura,ESP
139,38.29861111111111,BADAJOZ,381.0,4511C,JEREZ DE LOS CABALLEROS,08337,-6.765,,Jerez de los Caballeros,Badajoz,Extremadura,ESP
140,37.19472222222222,HUELVA,2.0,4549Y,AYAMONTE,08381,-7.3950000000000005,,Ayamonte,Huelva,Andalucía,ESP
141,37.868611111111115,HUELVA,572.0,4560Y,ALAJAR,08380,-6.675000000000001,,Alájar,Huelva,Andalucía,ESP
142,37.25666666666667,HUELVA,17.0,4605,HUELVA,,-6.949722222222222,Huelva,Huelva,Huelva,Andalucía,ESP
143,37.27833333333333,HUELVA,19.0,4642E,"HUELVA, RONDA ESTE",08383,-6.911666666666667,,Huelva,Huelva,Andalucía,ESP
144,35.89555555555555,CEUTA,200.0,5000A,"CEUTA, MONTE HACHO",,-5.292222222222222,,Ceuta,Ceuta,Ciudad Autónoma de Ceuta,ESP
